model,car_type,fuel_type,max_speed,mean_rating,min_rating,avg_destroy_degree,driver_accident_mean,driver_rating_mean,fix_count,total_work_duration,feature_min_max_diff,feature_start,feature_quant,target_class
Kia Rio X-line,economy,petrol,180.85572556050948,4.737758620689656,0.1,3.0485714285714285,17.724137931034484,8.229885057471265,35,933,9.001,0.0,0.001,another_bug
VW Polo VI,economy,petrol,187.8627335471007,4.48051724137931,0.0,2.917142857142857,6.9655172413793105,7.988505747126437,35,873,72.761,-7.057,16.691,electro_bug
Renault Sandero,standart,petrol,102.38285735291586,4.7683908045977015,0.1,3.74,9.775862068965518,7.843103448275862,35,915,16.401,-0.0,0.0,gear_stick
Mercedes-Benz GLC,business,petrol,172.79323664031617,3.880919540229885,0.1,4.085714285714285,19.991304347826087,8.524137931034483,35,1007,61.647000000000006,-0.833,28.1855,engine_fuel
Renault Sandero,standart,petrol,203.46228927518268,4.181149425287356,0.1,3.8800000000000003,15.758333333333333,8.112068965517242,35,981,70.176,-0.16,30.65725,engine_fuel
Skoda Rapid,economy,petrol,180.88628937633771,4.3517816091954025,0.1,3.568571428571429,7.436781609195402,8.020114942528735,35,831,36.147000000000006,-2.846,7.9405,engine_ignition
Nissan Qashqai,standart,petrol,174.98478561145714,4.392126436781609,0.1,3.0142857142857142,9.232558139534884,7.818965517241379,35,755,15.81,-0.0,-0.001,engine_overheat
Tesla Model 3,premium,electro,95.89073640916286,4.7123563218390805,0.1,3.2314285714285713,14.566265060240964,9.11896551724138,35,970,74.92,-0.137,1.46425,gear_stick
Kia Sportage,standart,petrol,101.79861494928544,4.507758620689655,0.32,3.742857142857143,9.60919540229885,7.8212643678160925,35,993,104.318,4.666,5.744,gear_stick
Smart ForFour,economy,petrol,125.25498324154968,4.376839080459771,0.1,3.3085714285714283,9.630057803468208,7.87183908045977,35,882,29.016,1.024,1.023,gear_stick
VW Polo,economy,petrol,164.22020969763824,4.675804597701149,0.1,2.5457142857142854,14.272,8.121264367816092,35,1101,7.6,0.0,0.001,engine_check
VW Polo VI,economy,petrol,187.0,4.226379310344828,0.0,3.742857142857143,8.10919540229885,8.040229885057471,35,985,64.002,-16.005,0.30924999999999997,electro_bug
Kia Rio,economy,petrol,153.54720575175003,4.70051724137931,0.16,2.5285714285714285,14.991935483870968,8.112068965517242,35,942,53.887,-3.512,3.14975,engine_check
