model,car_type,fuel_type,car_rating,year_to_start,riders,year_to_work,target_reg,target_class,min_rating,mean_rating,max_speed,driver_age_mean,driver_rating_mean,driver_accident_mean,fix_count,avg_destroy_degree,total_work_duration,unique_work_types,feature_min_max_diff,feature_corner,feature_mean,feature_shift,feature_start,feature_quant
Kia Rio X-line,economy,petrol,3.78,2015,76163,2021,108.53,another_bug,0.1,4.737758620689656,180.85572556050948,33.51149425287356,8.229885057471265,17.724137931034484,35,3.0485714285714285,933,4,9.001,-0.012376620821058368,-0.12039080459770116,718399,0.0,0.001
VW Polo VI,economy,petrol,3.9,2015,78218,2021,35.2,electro_bug,0.0,4.48051724137931,187.8627335471007,34.98850574712644,7.988505747126437,6.9655172413793105,35,2.917142857142857,873,5,72.761,0.1477580804833221,6.050011494252874,210544,-7.057,16.691
Renault Sandero,standart,petrol,6.3,2012,23340,2017,38.62,gear_stick,0.1,4.7683908045977015,102.38285735291586,32.839080459770116,7.843103448275862,9.775862068965518,35,3.74,915,5,16.401,0.024377212055832705,-2.2239540229885058,412085,-0.0,0.0
Mercedes-Benz GLC,business,petrol,4.04,2011,1263,2020,30.34,engine_fuel,0.1,3.880919540229885,172.79323664031617,34.97701149425287,8.524137931034483,19.991304347826087,35,4.085714285714285,1007,4,61.647000000000006,-0.028008175550387097,14.77194827586207,663553,-0.833,28.1855
Renault Sandero,standart,petrol,4.7,2012,26428,2017,30.45,engine_fuel,0.1,4.181149425287356,203.46228927518268,34.298850574712645,8.112068965517242,15.758333333333333,35,3.8800000000000003,981,4,70.176,-0.010186220215612534,12.45567816091954,188363,-0.16,30.65725
Skoda Rapid,economy,petrol,2.36,2013,42176,2018,50.93,engine_ignition,0.1,4.3517816091954025,180.88628937633771,34.310344827586206,8.020114942528735,7.436781609195402,35,3.568571428571429,831,4,36.147000000000006,-0.016901365224378254,1.213925287356322,389162,-2.846,7.9405
Nissan Qashqai,standart,petrol,5.32,2012,24611,2014,54.79,engine_overheat,0.1,4.392126436781609,174.98478561145714,33.02298850574713,7.818965517241379,9.232558139534884,35,3.0142857142857142,755,4,15.81,-0.029785976181539126,-4.27132183908046,234545,-0.0,-0.001
Tesla Model 3,premium,electro,3.9,2017,116872,2019,50.26,gear_stick,0.1,4.7123563218390805,95.89073640916286,34.666666666666664,9.11896551724138,14.566265060240964,35,3.2314285714285713,970,3,74.92,-0.0518273098279102,-15.800086206896552,201745,-0.137,1.46425
Kia Sportage,standart,petrol,3.5,2014,56384,2017,33.24,gear_stick,0.32,4.507758620689655,101.79861494928544,32.4367816091954,7.8212643678160925,9.60919540229885,35,3.742857142857143,993,4,104.318,-0.12082904816570128,-16.88423563218391,477013,4.666,5.744
Smart ForFour,economy,petrol,4.56,2013,41309,2018,39.43,gear_stick,0.1,4.376839080459771,125.25498324154968,32.839080459770116,7.87183908045977,9.630057803468208,35,3.3085714285714283,882,4,29.016,-0.05631289274084783,-6.435413793103448,151703,1.024,1.023
VW Polo,economy,petrol,2.14,2012,22590,2018,50.61,engine_check,0.1,4.675804597701149,164.22020969763824,33.48850574712644,8.121264367816092,14.272,35,2.5457142857142854,1101,4,7.6,-0.04246766909583726,-1.7607241379310343,634454,0.0,0.001
VW Polo VI,economy,petrol,5.0,2011,919,2017,31.35,electro_bug,0.0,4.226379310344828,187.0,34.00574712643678,8.040229885057471,8.10919540229885,35,3.742857142857143,985,4,64.002,-0.07632384873279377,-13.15762643678161,63409,-16.005,0.30924999999999997
Kia Rio,economy,petrol,3.92,2015,73646,2018,57.39,engine_check,0.16,4.70051724137931,153.54720575175003,35.5919540229885,8.112068965517242,14.991935483870968,35,2.5285714285714285,942,4,53.887,0.04861433549624786,-3.026522988505747,126099,-3.512,3.14975
Skoda Rapid,economy,petrol,4.02,2016,104165,2019,54.64,engine_check,0.1,4.57948275862069,158.0,33.35632183908046,8.114367816091955,17.390243902439025,35,3.2,1078,4,71.37299999999999,0.01137620336663498,21.65170114942529,449180,-4.215,37.13375
